instrument,month,class,side,boundary,strict,equal,rows
zs,2025-01,mbo_bid_add,contaminated,decision_T,150676,3,337845
zs,2025-01,mbo_ask_add,contaminated,decision_T,144800,5,337845
zs,2025-01,mbo_bid_cancel,contaminated,decision_T,137505,19,337845
zs,2025-01,mbo_ask_cancel,contaminated,decision_T,131636,18,337845
zs,2025-01,mbo_cancel_any,contaminated,decision_T,169487,20,337845
zs,2025-08,trades_all,corrected,decision_T,17717,2,465381
zs,2025-08,trades_buy,corrected,decision_T,0,0,465381
zs,2025-08,trades_sell,corrected,decision_T,17717,2,465381
zs,2025-08,trades_large,corrected,decision_T,4511,0,465381
zs,2025-08,mbo_all,corrected,decision_T,64404,2161,465381
zs,2025-08,mbo_bid_add,corrected,decision_T,39806,624,465381
zs,2025-08,mbo_ask_add,corrected,decision_T,39319,1526,465381
zs,2025-08,mbo_bid_cancel,corrected,decision_T,34379,5,465381
zs,2025-08,mbo_ask_cancel,corrected,decision_T,33614,4,465381
zs,2025-08,mbo_cancel_any,corrected,decision_T,46125,8,465381
zs,2025-08,trades_all,corrected,prev_row_B,88011,3,465381
zs,2025-08,trades_buy,corrected,prev_row_B,0,0,465381
zs,2025-08,trades_sell,corrected,prev_row_B,88011,3,465381
zs,2025-08,trades_large,corrected,prev_row_B,21071,0,465381
zs,2025-08,mbo_all,corrected,prev_row_B,296502,2724,465381
zs,2025-08,mbo_bid_add,corrected,prev_row_B,196791,801,465381
zs,2025-08,mbo_ask_add,corrected,prev_row_B,192217,1911,465381
zs,2025-08,mbo_bid_cancel,corrected,prev_row_B,173403,5,465381
zs,2025-08,mbo_ask_cancel,corrected,prev_row_B,167470,4,465381
zs,2025-08,mbo_cancel_any,corrected,prev_row_B,225561,8,465381
zs,2025-08,trades_all,contaminated,decision_T,88011,3,465382
zs,2025-08,trades_buy,contaminated,decision_T,0,0,465382
zs,2025-08,trades_sell,contaminated,decision_T,88011,3,465382
zs,2025-08,trades_large,contaminated,decision_T,21071,0,465382
zs,2025-08,mbo_all,contaminated,decision_T,296502,2725,465382
zs,2025-08,mbo_bid_add,contaminated,decision_T,196791,801,465382
zs,2025-08,mbo_ask_add,contaminated,decision_T,192217,1911,465382
zs,2025-08,mbo_bid_cancel,contaminated,decision_T,173403,6,465382
zs,2025-08,mbo_ask_cancel,contaminated,decision_T,167470,4,465382
zs,2025-08,mbo_cancel_any,contaminated,decision_T,225561,9,465382
he,2025-01,trades_all,corrected,decision_T,0,0,337488
he,2025-01,trades_buy,corrected,decision_T,0,0,337488
he,2025-01,trades_sell,corrected,decision_T,0,0,337488
he,2025-01,trades_large,corrected,decision_T,0,0,337488
he,2025-01,mbo_all,corrected,decision_T,0,1,337488
he,2025-01,mbo_bid_add,corrected,decision_T,0,0,337488
he,2025-01,mbo_ask_add,corrected,decision_T,0,0,337488
he,2025-01,mbo_bid_cancel,corrected,decision_T,0,1,337488
he,2025-01,mbo_ask_cancel,corrected,decision_T,0,0,337488
he,2025-01,mbo_cancel_any,corrected,decision_T,0,1,337488
he,2025-01,trades_all,corrected,prev_row_B,39596,0,337488
he,2025-01,trades_buy,corrected,prev_row_B,0,0,337488
he,2025-01,trades_sell,corrected,prev_row_B,39596,0,337488
he,2025-01,trades_large,corrected,prev_row_B,1846,0,337488
he,2025-01,mbo_all,corrected,prev_row_B,132122,2,337488
he,2025-01,mbo_bid_add,corrected,prev_row_B,81777,0,337488
he,2025-01,mbo_ask_add,corrected,prev_row_B,85367,0,337488
he,2025-01,mbo_bid_cancel,corrected,prev_row_B,78414,2,337488
he,2025-01,mbo_ask_cancel,corrected,prev_row_B,77220,0,337488
he,2025-01,mbo_cancel_any,corrected,prev_row_B,102602,2,337488
he,2025-01,trades_all,contaminated,decision_T,39596,0,337489
he,2025-01,trades_buy,contaminated,decision_T,0,0,337489
he,2025-01,trades_sell,contaminated,decision_T,39596,0,337489
he,2025-01,trades_large,contaminated,decision_T,1846,0,337489
he,2025-01,mbo_all,contaminated,decision_T,132122,2,337489
he,2025-01,mbo_bid_add,contaminated,decision_T,81777,0,337489
he,2025-01,mbo_ask_add,contaminated,decision_T,85367,0,337489
he,2025-01,mbo_bid_cancel,contaminated,decision_T,78414,2,337489
he,2025-01,mbo_ask_cancel,contaminated,decision_T,77220,0,337489
he,2025-01,mbo_cancel_any,contaminated,decision_T,102602,2,337489
he,2025-08,trades_all,corrected,decision_T,0,0,308710
he,2025-08,trades_buy,corrected,decision_T,0,0,308710
he,2025-08,trades_sell,corrected,decision_T,0,0,308710
he,2025-08,trades_large,corrected,decision_T,0,0,308710
he,2025-08,mbo_all,corrected,decision_T,0,15,308710
he,2025-08,mbo_bid_add,corrected,decision_T,0,5,308710
he,2025-08,mbo_ask_add,corrected,decision_T,0,4,308710
he,2025-08,mbo_bid_cancel,corrected,decision_T,0,4,308710
he,2025-08,mbo_ask_cancel,corrected,decision_T,0,0,308710
he,2025-08,mbo_cancel_any,corrected,decision_T,0,4,308710
he,2025-08,trades_all,corrected,prev_row_B,29188,0,308710
he,2025-08,trades_buy,corrected,prev_row_B,0,0,308710
he,2025-08,trades_sell,corrected,prev_row_B,29188,0,308710
he,2025-08,trades_large,corrected,prev_row_B,1485,0,308710
he,2025-08,mbo_all,corrected,prev_row_B,100848,20,308710
he,2025-08,mbo_bid_add,corrected,prev_row_B,50259,8,308710
he,2025-08,mbo_ask_add,corrected,prev_row_B,50764,4,308710
he,2025-08,mbo_bid_cancel,corrected,prev_row_B,46003,5,308710
he,2025-08,mbo_ask_cancel,corrected,prev_row_B,45429,1,308710
he,2025-08,mbo_cancel_any,corrected,prev_row_B,65709,6,308710
he,2025-08,trades_all,contaminated,decision_T,29188,0,308711
he,2025-08,trades_buy,contaminated,decision_T,0,0,308711
he,2025-08,trades_sell,contaminated,decision_T,29188,0,308711
he,2025-08,trades_large,contaminated,decision_T,1485,0,308711
he,2025-08,mbo_all,contaminated,decision_T,100848,21,308711
he,2025-08,mbo_bid_add,contaminated,decision_T,50259,8,308711
he,2025-08,mbo_ask_add,contaminated,decision_T,50764,4,308711
he,2025-08,mbo_bid_cancel,contaminated,decision_T,46003,6,308711
he,2025-08,mbo_ask_cancel,contaminated,decision_T,45429,1,308711
he,2025-08,mbo_cancel_any,contaminated,decision_T,65709,7,308711
le,2025-01,trades_all,corrected,decision_T,0,0,337493
le,2025-01,trades_buy,corrected,decision_T,0,0,337493
le,2025-01,trades_sell,corrected,decision_T,0,0,337493
le,2025-01,trades_large,corrected,decision_T,0,0,337493
le,2025-01,mbo_all,corrected,decision_T,0,1,337493
le,2025-01,mbo_bid_add,corrected,decision_T,0,1,337493
le,2025-01,mbo_ask_add,corrected,decision_T,0,0,337493
le,2025-01,mbo_bid_cancel,corrected,decision_T,0,0,337493
le,2025-01,mbo_ask_cancel,corrected,decision_T,0,0,337493
le,2025-01,mbo_cancel_any,corrected,decision_T,0,0,337493
le,2025-01,trades_all,corrected,prev_row_B,44691,0,337493
le,2025-01,trades_buy,corrected,prev_row_B,0,0,337493
le,2025-01,trades_sell,corrected,prev_row_B,44691,0,337493
le,2025-01,trades_large,corrected,prev_row_B,1680,0,337493
le,2025-01,mbo_all,corrected,prev_row_B,140720,4,337493
le,2025-01,mbo_bid_add,corrected,prev_row_B,93211,2,337493
le,2025-01,mbo_ask_add,corrected,prev_row_B,93626,0,337493
le,2025-01,mbo_bid_cancel,corrected,prev_row_B,91114,1,337493
le,2025-01,mbo_ask_cancel,corrected,prev_row_B,91240,1,337493
le,2025-01,mbo_cancel_any,corrected,prev_row_B,117036,2,337493
le,2025-01,trades_all,contaminated,decision_T,44691,0,337494
le,2025-01,trades_buy,contaminated,decision_T,0,0,337494
le,2025-01,trades_sell,contaminated,decision_T,44691,0,337494
le,2025-01,trades_large,contaminated,decision_T,1680,0,337494
le,2025-01,mbo_all,contaminated,decision_T,140720,4,337494
le,2025-01,mbo_bid_add,contaminated,decision_T,93211,2,337494
