side,instrument,model,horizon,file,n_rows,n_nan_pred,n_nan_label,n_used,recomputed_auc,n_zero_tick,n_nan_fwd,n_label_pos,n_label_eq_signpos
post,NQ,XGBoost,60s,nq_XGBoost_60s_predictions.parquet,2783959,0,0,2783959,0.5051040958,0,0,1408879,2783959
post,ZC,LightGBM,10s,zc_LightGBM_10s_predictions.parquet,655016,0,0,655016,0.7565038304,0,0,329369,655016
post,ZC,LightGBM,30s,zc_LightGBM_30s_predictions.parquet,745656,0,0,745656,0.6792882400,0,0,373718,745656
post,ZC,LightGBM,5s,zc_LightGBM_5s_predictions.parquet,1047430,0,0,1047430,0.9315357123,0,0,522896,1047430
post,ZC,LightGBM,60s,zc_LightGBM_60s_predictions.parquet,890687,0,0,890687,0.6799329047,0,0,447195,890687
post,ZC,XGBoost,10s,zc_XGBoost_10s_predictions.parquet,655016,0,0,655016,0.7611655115,0,0,329369,655016
post,ZC,XGBoost,30s,zc_XGBoost_30s_predictions.parquet,745656,0,0,745656,0.6786165851,0,0,373718,745656
post,ZC,XGBoost,5s,zc_XGBoost_5s_predictions.parquet,1047430,0,0,1047430,0.9324070011,0,0,522896,1047430
post,ZC,XGBoost,60s,zc_XGBoost_60s_predictions.parquet,890687,0,0,890687,0.6774955121,0,0,447195,890687
post,ZS,LightGBM,10s,zs_LightGBM_10s_predictions.parquet,699991,0,0,699991,0.7393771937,0,0,348636,699991
post,ZS,LightGBM,30s,zs_LightGBM_30s_predictions.parquet,1018858,0,0,1018858,0.6409300425,0,0,508416,1018858
post,ZS,LightGBM,5s,zs_LightGBM_5s_predictions.parquet,885602,0,0,885602,0.9336812707,0,0,442763,885602
post,ZS,LightGBM,60s,zs_LightGBM_60s_predictions.parquet,1256335,0,0,1256335,0.6156475099,0,0,627180,1256335
post,ZS,XGBoost,10s,zs_XGBoost_10s_predictions.parquet,699991,0,0,699991,0.7353597710,0,0,348636,699991
post,ZS,XGBoost,30s,zs_XGBoost_30s_predictions.parquet,1018858,0,0,1018858,0.6407713654,0,0,508416,1018858
post,ZS,XGBoost,5s,zs_XGBoost_5s_predictions.parquet,885602,0,0,885602,0.9337069123,0,0,442763,885602
post,ZS,XGBoost,60s,zs_XGBoost_60s_predictions.parquet,1256335,0,0,1256335,0.6136951916,0,0,627180,1256335
