side,instrument,model,horizon,n_rows,n_used,n_zero_tick,n_label_pos,n_label_eq_signpos,recomputed_auc,test_auc,n_test,delta,abs_delta,flag_gt_5e-5,rows_match_n_test,_merge
post,ZC,LightGBM,10s,655016,655016,0,329369,655016,0.7565038304,0.7565000000,655016.0000000000,0.0000038304,0.0000038304,False,True,both
post,ZC,LightGBM,30s,745656,745656,0,373718,745656,0.6792882400,0.6793000000,745656.0000000000,-0.0000117600,0.0000117600,False,True,both
post,ZC,LightGBM,60s,890687,890687,0,447195,890687,0.6799329047,0.6799000000,890687.0000000000,0.0000329047,0.0000329047,False,True,both
post,ZC,XGBoost,5s,1047430,1047430,0,522896,1047430,0.9324070011,0.9324000000,1047430.0000000000,0.0000070011,0.0000070011,False,True,both
post,ZC,XGBoost,10s,655016,655016,0,329369,655016,0.7611655115,0.7612000000,655016.0000000000,-0.0000344885,0.0000344885,False,True,both
post,ZC,XGBoost,30s,745656,745656,0,373718,745656,0.6786165851,0.6786000000,745656.0000000000,0.0000165851,0.0000165851,False,True,both
post,ZC,XGBoost,60s,890687,890687,0,447195,890687,0.6774955121,0.6775000000,890687.0000000000,-0.0000044879,0.0000044879,False,True,both
post,ZS,LightGBM,5s,885602,885602,0,442763,885602,0.9336812707,0.9337000000,885602.0000000000,-0.0000187293,0.0000187293,False,True,both
post,ZS,LightGBM,10s,699991,699991,0,348636,699991,0.7393771937,0.7394000000,699991.0000000000,-0.0000228063,0.0000228063,False,True,both
post,ZS,LightGBM,30s,1018858,1018858,0,508416,1018858,0.6409300425,0.6409000000,1018858.0000000000,0.0000300425,0.0000300425,False,True,both
post,ZS,LightGBM,60s,1256335,1256335,0,627180,1256335,0.6156475099,0.6156000000,1256335.0000000000,0.0000475099,0.0000475099,False,True,both
post,ZS,XGBoost,5s,885602,885602,0,442763,885602,0.9337069123,0.9337000000,885602.0000000000,0.0000069123,0.0000069123,False,True,both
post,ZS,XGBoost,10s,699991,699991,0,348636,699991,0.7353597710,0.7354000000,699991.0000000000,-0.0000402290,0.0000402290,False,True,both
post,ZS,XGBoost,30s,1018858,1018858,0,508416,1018858,0.6407713654,0.6408000000,1018858.0000000000,-0.0000286346,0.0000286346,False,True,both
post,ZS,XGBoost,60s,1256335,1256335,0,627180,1256335,0.6136951916,0.6137000000,1256335.0000000000,-0.0000048084,0.0000048084,False,True,both
