instrument,model,horizon,kind,row_index,timestamp,pre_label,post_label,class
gc,LightGBM,30,only_post,878250,2025-11-24T13:35:29.753373615,,1,boundary
gc,LightGBM,30,only_post,906197,2025-11-26T19:30:18.105521797,,0,boundary
gc,LightGBM,30,only_post,940999,2025-12-03T16:52:13.196461565,,0,boundary
gc,LightGBM,30,only_post,976967,2025-12-05T21:41:20.033626701,,0,boundary
gc,LightGBM,30,only_post,1011978,2025-12-10T17:02:41.815472009,,0,boundary
gc,LightGBM,30,only_post,1044653,2025-12-12T20:39:33.014646257,,1,boundary
gc,LightGBM,30,only_post,1074506,2025-12-17T14:25:11.690198079,,0,boundary
gc,LightGBM,30,only_post,1108742,2025-12-19T19:14:07.227975955,,1,boundary
gc,LightGBM,30,only_post,1142416,2025-12-24T13:55:35.176321825,,0,boundary
gc,LightGBM,30,only_post,1174801,2025-12-29T21:09:49.596165539,,1,boundary
gc,LightGBM,60,only_pre,0,2025-08-01T13:00:00.407995871,1,,boundary
gc,LightGBM,60,only_pre,1721,2025-08-04T18:53:41.643047429,1,,boundary
gc,LightGBM,60,only_pre,28510,2025-08-07T16:32:16.921861077,1,,boundary
gc,LightGBM,60,only_pre,60261,2025-08-12T14:35:08.964227893,0,,boundary
gc,LightGBM,60,only_pre,119889,2025-08-19T17:08:51.056211205,1,,boundary
gc,LightGBM,60,only_pre,145557,2025-08-22T13:38:02.000000000,1,,boundary
gc,LightGBM,60,only_pre,172506,2025-08-25T13:31:46.088506459,0,,interior
gc,LightGBM,60,only_pre,174403,2025-08-26T19:15:24.000000000,0,,boundary
gc,LightGBM,60,only_pre,203123,2025-08-29T15:19:56.122937113,1,,boundary
gc,LightGBM,60,only_pre,222485,2025-09-01T13:00:00.256114953,0,,boundary
gc,LightGBM,60,only_pre,222490,2025-09-02T20:31:59.393128243,0,,boundary
gc,LightGBM,60,only_pre,247642,2025-09-05T16:37:37.047058913,1,,boundary
gc,LightGBM,60,only_pre,281338,2025-09-10T14:37:20.279630421,1,,boundary
gc,LightGBM,60,only_pre,311622,2025-09-12T20:54:21.820982659,0,,boundary
gc,LightGBM,60,only_pre,364586,2025-09-18T15:05:07.793936649,1,,interior
gc,LightGBM,60,only_pre,365188,2025-09-22T13:34:15.286173371,0,,boundary
gc,LightGBM,60,only_pre,394736,2025-09-24T18:17:48.945301191,1,,boundary
gc,LightGBM,60,only_pre,425705,2025-09-29T16:12:06.067410145,1,,boundary
gc,LightGBM,60,only_pre,457244,2025-10-01T13:00:00.416874999,0,,boundary
gc,LightGBM,60,only_pre,460338,2025-10-02T18:46:46.332223451,1,,boundary
gc,LightGBM,60,only_pre,491677,2025-10-07T16:19:15.032384765,1,,boundary
gc,LightGBM,60,only_pre,523704,2025-10-10T13:54:39.000000000,1,,boundary
gc,LightGBM,60,only_pre,551591,2025-10-13T13:38:09.205204823,1,,interior
gc,LightGBM,60,only_pre,552376,2025-10-14T19:38:21.479286837,0,,boundary
gc,LightGBM,60,only_pre,584440,2025-10-17T17:48:34.266647301,1,,boundary
gc,LightGBM,60,only_pre,616788,2025-10-22T13:41:20.583366001,1,,boundary
gc,LightGBM,60,only_pre,644780,2025-10-24T18:35:46.000000000,1,,boundary
gc,LightGBM,60,only_pre,674775,2025-10-29T14:43:13.242935715,1,,boundary
gc,LightGBM,60,only_pre,701199,2025-10-30T13:31:54.677553129,1,,interior
gc,LightGBM,60,only_pre,702089,2025-10-31T20:10:25.805899605,1,,boundary
gc,LightGBM,60,only_pre,704948,2025-11-04T17:33:07.000000000,1,,boundary
gc,LightGBM,60,only_pre,737693,2025-11-06T21:14:08.820196825,1,,boundary
gc,LightGBM,60,only_pre,775281,2025-11-11T17:07:42.577462269,0,,boundary
gc,LightGBM,60,only_pre,806782,2025-11-13T20:24:01.992227093,1,,boundary
gc,LightGBM,60,only_pre,842091,2025-11-18T16:20:44.000000000,0,,boundary
gc,LightGBM,60,only_pre,911585,2025-11-25T18:09:36.971476095,0,,boundary
gc,LightGBM,60,only_pre,942587,2025-11-28T18:33:11.239501017,0,,boundary
gc,LightGBM,60,only_pre,946616,2025-12-02T17:37:26.335659179,0,,boundary
gc,LightGBM,60,only_pre,978731,2025-12-04T20:22:41.368322585,0,,boundary
gc,LightGBM,60,only_pre,1015288,2025-12-09T16:17:09.972990023,0,,boundary
gc,LightGBM,60,only_pre,1051431,2025-12-11T20:26:59.743400297,1,,boundary
gc,LightGBM,60,only_pre,1084672,2025-12-16T15:17:39.092966079,0,,boundary
gc,LightGBM,60,only_pre,1115576,2025-12-18T18:33:27.069700673,0,,boundary
gc,LightGBM,60,only_pre,1150644,2025-12-23T13:58:49.545552863,0,,boundary
gc,LightGBM,60,only_pre,1184209,2025-12-26T21:33:55.768526025,1,,boundary
gc,LightGBM,60,only_pre,1217628,2025-12-31T16:48:40.827704005,1,,boundary
gc,LightGBM,60,only_post,1720,2025-08-01T13:29:15.407995871,,0,boundary
gc,LightGBM,60,only_post,28509,2025-08-05T17:58:22.654299487,,0,boundary
gc,LightGBM,60,only_post,60260,2025-08-08T17:34:46.509911973,,1,boundary
gc,LightGBM,60,only_post,91468,2025-08-13T15:10:14.000000000,,0,boundary
gc,LightGBM,60,only_post,119889,2025-08-17T21:19:05.725113995,,0,boundary
gc,LightGBM,60,only_post,145557,2025-08-20T16:06:55.000000000,,1,boundary
gc,LightGBM,60,only_post,172506,2025-08-25T13:31:41.088506459,,0,interior
gc,LightGBM,60,only_post,174403,2025-08-25T14:02:03.088506459,,1,boundary
gc,LightGBM,60,only_post,203123,2025-08-27T18:31:44.000000000,,0,boundary
gc,LightGBM,60,only_post,222489,2025-09-01T13:00:03.580780791,,0,boundary
gc,LightGBM,60,only_post,247641,2025-09-03T19:05:24.247841963,,1,boundary
gc,LightGBM,60,only_post,281337,2025-09-08T17:23:31.267878461,,1,boundary
gc,LightGBM,60,only_post,340462,2025-09-15T20:10:02.720847279,,0,boundary
gc,LightGBM,60,only_post,364585,2025-09-18T15:05:02.793936649,,1,interior
gc,LightGBM,60,only_post,365187,2025-09-18T15:13:57.793936649,,1,boundary
gc,LightGBM,60,only_post,394735,2025-09-23T13:01:38.948514245,,1,boundary
gc,LightGBM,60,only_post,425704,2025-09-25T18:08:35.000000000,,0,boundary
gc,LightGBM,60,only_post,457243,2025-09-30T16:54:32.391442679,,0,boundary
gc,LightGBM,60,only_post,460337,2025-10-01T13:49:06.416874999,,0,boundary
gc,LightGBM,60,only_post,491676,2025-10-03T19:34:16.861275435,,1,boundary
gc,LightGBM,60,only_post,523703,2025-10-08T16:43:43.415525257,,0,boundary
gc,LightGBM,60,only_post,551590,2025-10-13T13:38:04.205204823,,1,interior
gc,LightGBM,60,only_post,552375,2025-10-13T13:51:21.205204823,,1,boundary
gc,LightGBM,60,only_post,584439,2025-10-15T19:54:47.890003513,,0,boundary
gc,LightGBM,60,only_post,616787,2025-10-20T18:25:21.045288267,,0,boundary
gc,LightGBM,60,only_post,644779,2025-10-22T20:41:07.222177379,,1,boundary
gc,LightGBM,60,only_post,674774,2025-10-27T18:05:29.146237249,,0,boundary
