month,date,in_lattice,lattice_rows,lattice_min,lattice_max,v4_day_file_present,v4_events_in_window,v4_mbo_all_in_window,v4_min,v4_max,v3_events_in_window,v3_mbo_all_in_window,v3_min,v3_max
2025-09,2025-09-23,true,25574,2025-09-23 14:00:00.180583309,2025-09-23 21:59:59.450157905,true,11521442,9590977,2025-09-23 14:00:00.002187257,2025-09-23 21:59:59.999708657,11509842,9589825,2025-09-23 14:00:00.002187257,2025-09-23 21:59:59.507517205
2025-09,2025-09-24,true,25459,2025-09-24 14:00:00.018246287,2025-09-24 21:57:51.474683481,true,9869600,8082816,2025-09-24 14:00:00.002546941,2025-09-24 21:59:59.995045807,9858994,8081900,2025-09-24 14:00:00.002546941,2025-09-24 21:57:50.781934825
2025-09,2025-09-25,true,25400,2025-09-25 14:00:00.001265725,2025-09-25 21:55:32.013312479,true,13427326,10786692,2025-09-25 14:00:00.000085147,2025-09-25 21:59:59.994896271,13409358,10785636,2025-09-25 14:00:00.000085147,2025-09-25 21:55:31.270633277
2025-09,2025-09-26,true,25201,2025-09-26 14:00:00.005533419,2025-09-26 20:59:59.715034383,true,10711242,8534183,2025-09-26 14:00:00.004816737,2025-09-26 21:00:00.068025237,10694118,8532990,2025-09-26 14:00:00.004816737,2025-09-26 20:59:59.715034383
2025-09,2025-09-28,true,504,2025-09-28 21:02:15.002579817,2025-09-28 21:59:59.201655605,false,,,,,305,305,2025-09-28 21:02:15.002579817,2025-09-28 21:59:56.077426529
2025-09,2025-09-29,true,25473,2025-09-29 14:00:00.007093077,2025-09-29 21:59:59.153981563,true,9338564,7601790,2025-09-29 14:00:00.004799855,2025-09-29 21:59:59.961283135,9328104,7600539,2025-09-29 14:00:00.004799855,2025-09-29 21:59:58.657416395
2025-09,2025-09-30,true,25201,2025-09-30 14:00:00.035742887,2025-09-30 20:59:59.988376271,true,9973343,7844550,2025-09-30 14:00:00.007507361,2025-09-30 21:59:59.960746211,9956549,7843092,2025-09-30 14:00:00.007507361,2025-09-30 20:59:59.988376271
2025-10,2025-09-28,true,9,2025-09-28 21:45:00.254420635,2025-09-28 21:55:06.012018093,false,,,,,20,20,2025-09-28 21:45:00.254420635,2025-09-28 21:55:05.295988659
2025-10,2025-09-29,true,245,2025-09-29 14:07:03.961259441,2025-09-29 21:55:05.014765901,false,,,,,70,70,2025-09-29 14:07:03.961259441,2025-09-29 21:55:04.953005697
2025-10,2025-09-30,true,1578,2025-09-30 14:01:29.799904633,2025-09-30 21:59:59.203936841,false,,,,,381,381,2025-09-30 14:01:29.799904633,2025-09-30 21:59:52.166388827
2025-10,2025-10-01,true,25688,2025-10-01 14:00:00.011953061,2025-10-01 21:59:59.213581405,true,7220398,5793882,2025-10-01 14:00:00.000073927,2025-10-01 21:59:59.962939241,7209282,5792470,2025-10-01 14:00:00.000073927,2025-10-01 21:59:14.307727739
2025-10,2025-10-02,true,25552,2025-10-02 14:00:00.005278437,2025-10-02 21:59:59.695915603,true,9253856,7607296,2025-10-02 14:00:00.000288233,2025-10-02 21:59:59.900783465,9243735,7605875,2025-10-02 14:00:00.000288233,2025-10-02 21:59:31.655924489
2025-10,2025-10-03,true,25201,2025-10-03 14:00:00.001474443,2025-10-03 20:59:59.695409845,true,10680217,8523554,2025-10-03 14:00:00.000004077,2025-10-03 21:00:00.068015211,10663762,8522378,2025-10-03 14:00:00.000004077,2025-10-03 20:59:59.695409845
2025-10,2025-10-05,true,660,2025-10-05 21:15:00.429026387,2025-10-05 21:59:59.999709333,false,,,,,336,336,2025-10-05 21:15:00.429026387,2025-10-05 21:59:59.999709333
2025-10,2025-10-06,true,25619,2025-10-06 14:00:00.001701285,2025-10-06 21:59:59.129958381,true,8041668,6500396,2025-10-06 14:00:00.000065965,2025-10-06 21:59:59.900669227,8033269,6499282,2025-10-06 14:00:00.000065965,2025-10-06 21:59:51.400083989
2025-10,2025-10-07,true,25548,2025-10-07 14:00:00.002121385,2025-10-07 21:59:59.944334141,true,11470693,9113586,2025-10-07 14:00:00.000115505,2025-10-07 21:59:59.994979235,11452639,9112592,2025-10-07 14:00:00.000115505,2025-10-07 21:59:47.513301199
2025-10,2025-10-08,true,25698,2025-10-08 14:00:00.001009483,2025-10-08 21:59:59.974630813,true,7214086,5911994,2025-10-08 14:00:00.000064395,2025-10-08 21:59:59.944624911,7204901,5910950,2025-10-08 14:00:00.000064395,2025-10-08 21:59:15.092369441
2025-10,2025-10-09,true,25541,2025-10-09 14:00:00.002298451,2025-10-09 21:59:59.725384161,true,11118761,9283588,2025-10-09 14:00:00.000677787,2025-10-09 21:59:59.900710849,11106745,9282364,2025-10-09 14:00:00.000677787,2025-10-09 21:59:26.318875507
2025-10,2025-10-10,true,25201,2025-10-10 14:00:00.021027491,2025-10-10 20:59:59.908403455,true,23263692,19404174,2025-10-10 14:00:00.002403903,2025-10-10 21:00:00.068013755,23199091,19403052,2025-10-10 14:00:00.002403903,2025-10-10 20:59:59.908403455
2025-10,2025-10-12,true,529,2025-10-12 21:00:04.819298671,2025-10-12 21:59:59.969436935,false,,,,,329,329,2025-10-12 21:00:04.819298671,2025-10-12 21:59:59.999539007
2025-10,2025-10-13,true,25488,2025-10-13 14:00:00.000117297,2025-10-13 21:59:59.463228755,true,10846913,8577729,2025-10-13 14:00:00.000056657,2025-10-13 21:59:59.900657013,10829607,8576839,2025-10-13 14:00:00.000056657,2025-10-13 21:59:47.974753615
2025-10,2025-10-14,true,25572,2025-10-14 14:00:00.007049001,2025-10-14 21:59:59.549475139,true,13243246,10701647,2025-10-14 14:00:00.000062941,2025-10-14 21:59:59.962328625,13217684,10700610,2025-10-14 14:00:00.000062941,2025-10-14 21:59:59.522572187
2025-10,2025-10-15,true,25567,2025-10-15 14:00:00.005352219,2025-10-15 21:59:59.609575639,true,14604005,11961671,2025-10-15 14:00:00.000135651,2025-10-15 21:59:59.900658015,14579788,11960525,2025-10-15 14:00:00.000135651,2025-10-15 21:59:33.793115813
2025-10,2025-10-16,true,25470,2025-10-16 14:00:00.000991695,2025-10-16 21:58:10.100428673,true,18181814,15588182,2025-10-16 14:00:00.000060733,2025-10-16 21:59:59.900799873,18140382,15587148,2025-10-16 14:00:00.000060733,2025-10-16 21:58:09.100428673
2025-10,2025-10-17,true,25201,2025-10-17 14:00:00.005699699,2025-10-17 20:59:59.768834005,true,15389108,12620877,2025-10-17 14:00:00.000387721,2025-10-17 21:00:00.068019341,15359523,12619739,2025-10-17 14:00:00.000387721,2025-10-17 20:59:59.768834005
2025-10,2025-10-19,true,539,2025-10-19 21:00:30.003475119,2025-10-19 21:59:59.920941199,false,,,,,426,426,2025-10-19 21:00:30.003475119,2025-10-19 21:59:58.362178817
2025-10,2025-10-20,true,25484,2025-10-20 14:00:00.008500005,2025-10-20 21:57:34.095799845,true,7998913,6474156,2025-10-20 14:00:00.001385781,2025-10-20 21:59:59.900625949,7988180,6473052,2025-10-20 14:00:00.001385781,2025-10-20 21:57:33.432050525
2025-10,2025-10-21,true,25936,2025-10-21 14:00:00.000007469,2025-10-21 21:59:59.075363003,true,9732464,7772799,2025-10-21 14:00:00.000089807,2025-10-21 21:59:59.995072357,9719716,7771737,2025-10-21 14:00:00.000089807,2025-10-21 21:59:53.940892961
2025-10,2025-10-22,true,25580,2025-10-22 14:00:00.001299035,2025-10-22 21:58:31.382647519,true,17359460,13562475,2025-10-22 14:00:00.000073207,2025-10-22 21:59:59.995011153,17325294,13561455,2025-10-22 14:00:00.000073207,2025-10-22 21:58:30.443107325
2025-10,2025-10-23,true,25666,2025-10-23 14:00:00.005563387,2025-10-23 21:59:59.999753279,true,9608659,7845117,2025-10-23 14:00:00.003027977,2025-10-23 21:59:59.960290901,9592200,7843841,2025-10-23 14:00:00.003027977,2025-10-23 21:59:55.485237573
2025-10,2025-10-24,true,25201,2025-10-24 14:00:00.001410329,2025-10-24 20:59:59.908332355,true,7821828,6340338,2025-10-24 14:00:00.000558281,2025-10-24 21:00:00.068010083,7810014,6339154,2025-10-24 14:00:00.000558281,2025-10-24 20:59:59.908332355
2025-10,2025-10-26,true,716,2025-10-26 21:00:01.393005189,2025-10-26 21:59:59.984388931,false,,,,,335,335,2025-10-26 21:00:01.393005189,2025-10-26 21:59:59.999538127
